% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
10.709	1	0	1	1	1071	1	0	0	13	15	1	0	28	5271
10.7095	1	0	1	1	1071	1	1	7	6	14	1	0	28	2433
10.804	1	0	1	1	1080	6	0	12	1	15	1	0	28	403
10.809	1	0	1	1	1081	1	0	0	13	15	1	0	28	5271
10.8095	1	0	1	1	1081	1	1	7	6	14	1	0	28	2433
10.904	1	0	1	1	1090	6	0	12	1	15	1	0	28	403
10.909	1	0	1	1	1091	1	0	0	13	15	1	0	28	5271
10.9095	1	0	1	1	1091	1	1	7	6	14	1	0	28	2433
11.004	1	0	1	1	1100	6	0	12	1	15	1	0	28	403
11.009	1	0	1	1	1101	1	0	0	13	15	1	0	28	5271
11.0095	1	0	1	1	1101	1	1	7	6	14	1	0	28	2433
11.104	1	0	1	1	1110	6	0	12	1	15	1	0	28	403
11.109	1	0	1	1	1111	1	0	0	13	15	1	0	28	5271
11.1095	1	0	1	1	1111	1	1	7	6	14	1	0	28	2433
11.204	1	0	1	1	1120	6	0	12	1	15	1	0	28	403
11.209	1	0	1	1	1121	1	0	0	13	15	1	0	28	5271
11.2095	1	0	1	1	1121	1	1	7	6	14	1	0	28	2433
11.304	1	0	1	1	1130	6	0	12	1	15	1	0	28	403
11.309	1	0	1	1	1131	1	0	0	13	15	1	0	28	5271
11.3095	1	0	1	1	1131	1	1	7	6	14	1	0	28	2433
11.404	1	0	1	1	1140	6	0	12	1	15	1	0	28	403
11.409	1	0	1	1	1141	1	0	0	13	15	1	0	28	5271
11.4095	1	0	1	1	1141	1	1	7	6	14	1	0	28	2433
11.504	1	0	1	1	1150	6	0	12	1	15	1	0	28	403
11.509	1	0	1	1	1151	1	0	0	13	15	1	0	28	5271
11.5095	1	0	1	1	1151	1	1	7	6	14	1	0	28	2433
11.604	1	0	1	1	1160	6	0	12	1	15	1	0	28	403
11.609	1	0	1	1	1161	1	0	0	13	15	1	0	28	5271
11.6095	1	0	1	1	1161	1	1	7	6	14	1	0	28	2433
11.704	1	0	1	1	1170	6	0	12	1	15	1	0	28	403
11.709	1	0	1	1	1171	1	0	0	13	15	1	0	28	5271
11.7095	1	0	1	1	1171	1	1	7	6	14	1	0	28	2433
11.804	1	0	1	1	1180	6	0	12	1	15	1	0	28	403
11.809	1	0	1	1	1181	1	0	0	13	15	1	0	28	5271
11.8095	1	0	1	1	1181	1	1	7	6	14	1	0	28	2433
11.904	1	0	1	1	1190	6	0	12	1	15	1	0	28	403
11.909	1	0	1	1	1191	1	0	0	13	15	1	0	28	5271
11.9095	1	0	1	1	1191	1	1	7	6	14	1	0	28	2433
12.004	1	0	1	1	1200	6	0	12	1	15	1	0	28	403
12.009	1	0	1	1	1201	1	0	0	13	15	1	0	28	5271
12.0095	1	0	1	1	1201	1	1	7	6	14	1	0	28	2433
12.104	1	0	1	1	1210	6	0	12	1	15	1	0	28	403
12.109	1	0	1	1	1211	1	0	0	13	15	1	0	28	5271
12.1095	1	0	1	1	1211	1	1	7	6	14	1	0	28	2433
12.204	1	0	1	1	1220	6	0	12	1	15	1	0	28	403
12.209	1	0	1	1	1221	1	0	0	13	15	1	0	28	5271
12.2095	1	0	1	1	1221	1	1	7	6	14	1	0	28	2433
12.304	1	0	1	1	1230	6	0	12	1	15	1	0	28	403
12.309	1	0	1	1	1231	1	0	0	13	15	1	0	28	5271
12.3095	1	0	1	1	1231	1	1	7	6	14	1	0	28	2433
12.404	1	0	1	1	1240	6	0	12	1	15	1	0	28	403
12.409	1	0	1	1	1241	1	0	0	13	15	1	0	28	5271
12.4095	1	0	1	1	1241	1	1	7	6	14	1	0	28	2433
12.504	1	0	1	1	1250	6	0	12	1	15	1	0	28	403
12.509	1	0	1	1	1251	1	0	0	13	15	1	0	28	5271
12.5095	1	0	1	1	1251	1	1	7	6	14	1	0	28	2433
12.604	1	0	1	1	1260	6	0	12	1	15	1	0	28	403
12.609	1	0	1	1	1261	1	0	0	13	15	1	0	28	5271
12.6095	1	0	1	1	1261	1	1	7	6	14	1	0	28	2433
12.704	1	0	1	1	1270	6	0	12	1	15	1	0	28	403
12.709	1	0	1	1	1271	1	0	0	13	15	1	0	28	5271
12.7095	1	0	1	1	1271	1	1	7	6	14	1	0	28	2433
12.804	1	0	1	1	1280	6	0	12	1	15	1	0	28	403
12.809	1	0	1	1	1281	1	0	0	13	15	1	0	28	5271
12.8095	1	0	1	1	1281	1	1	7	6	14	1	0	28	2433
12.904	1	0	1	1	1290	6	0	12	1	15	1	0	28	403
12.909	1	0	1	1	1291	1	0	0	13	15	1	0	28	5271
12.9095	1	0	1	1	1291	1	1	7	6	14	1	0	28	2433
13.004	1	0	1	1	1300	6	0	12	1	15	1	0	28	403
13.009	1	0	1	1	1301	1	0	0	13	15	1	0	28	5271
13.0095	1	0	1	1	1301	1	1	7	6	14	1	0	28	2433
13.104	1	0	1	1	1310	6	0	12	1	15	1	0	28	403
13.109	1	0	1	1	1311	1	0	0	13	15	1	0	28	5271
13.1095	1	0	1	1	1311	1	1	7	6	14	1	0	28	2433
13.204	1	0	1	1	1320	6	0	12	1	15	1	0	28	403
13.209	1	0	1	1	1321	1	0	0	13	15	1	0	28	5271
13.2095	1	0	1	1	1321	1	1	7	6	14	1	0	28	2433
13.304	1	0	1	1	1330	6	0	12	1	15	1	0	28	403
13.309	1	0	1	1	1331	1	0	0	13	15	1	0	28	5271
13.3095	1	0	1	1	1331	1	1	7	6	14	1	0	28	2433
13.404	1	0	1	1	1340	6	0	12	1	15	1	0	28	403
13.409	1	0	1	1	1341	1	0	0	13	15	1	0	28	5271
13.4095	1	0	1	1	1341	1	1	7	6	14	1	0	28	2433
13.504	1	0	1	1	1350	6	0	12	1	15	1	0	28	403
13.509	1	0	1	1	1351	1	0	0	13	15	1	0	28	5271
13.5095	1	0	1	1	1351	1	1	7	6	14	1	0	28	2433
13.604	1	0	1	1	1360	6	0	12	1	15	1	0	28	403
13.609	1	0	1	1	1361	1	0	0	13	15	1	0	28	5271
13.6095	1	0	1	1	1361	1	1	7	6	14	1	0	28	2433
13.704	1	0	1	1	1370	6	0	12	1	15	1	0	28	403
13.709	1	0	1	1	1371	1	0	0	13	15	1	0	28	5271
13.7095	1	0	1	1	1371	1	1	7	6	14	1	0	28	2433
13.804	1	0	1	1	1380	6	0	12	1	15	1	0	28	403
13.809	1	0	1	1	1381	1	0	0	13	15	1	0	28	5271
