Time	CellId	RNTI	BWPId	SINR(dB)
0.590002	2	1	0	21.0513
0.591971	2	1	0	21.0513
0.594471	2	1	0	21.0513
0.595002	2	1	0	21.0513
0.596971	2	1	0	21.0513
0.599471	2	1	0	21.0513
0.600002	2	1	0	21.0513
0.601971	2	1	0	21.0513
0.604471	2	1	0	21.0513
0.605002	2	1	0	21.0513
0.606971	2	1	0	21.0513
0.609471	2	1	0	21.0513
0.610002	2	1	0	21.0513
0.611971	2	1	0	21.0513
0.614471	2	1	0	21.0513
0.615002	2	1	0	21.0513
0.616971	2	1	0	21.0513
0.619471	2	1	0	21.0513
0.620002	2	1	0	21.0513
0.621971	2	1	0	21.0513
0.624471	2	1	0	21.0513
0.625002	2	1	0	21.0513
0.626971	2	1	0	21.0513
0.629471	2	1	0	21.0513
0.630002	2	1	0	21.0513
0.631971	2	1	0	21.0513
0.634471	2	1	0	21.0513
0.635002	2	1	0	21.0513
0.636971	2	1	0	21.0513
0.639471	2	1	0	21.0513
0.640002	2	1	0	21.0513
0.641971	2	1	0	21.0513
0.644471	2	1	0	21.0513
0.645002	2	1	0	21.0513
0.646971	2	1	0	21.0513
0.649471	2	1	0	21.0513
0.650002	2	1	0	21.0513
0.651971	2	1	0	21.0513
0.654471	2	1	0	21.0513
0.655002	2	1	0	21.0513
0.656971	2	1	0	21.0513
0.659471	2	1	0	21.0513
0.660002	2	1	0	21.0513
0.661971	2	1	0	21.0513
0.664471	2	1	0	21.0513
0.665002	2	1	0	21.0513
0.666971	2	1	0	21.0513
0.669471	2	1	0	21.0513
0.670002	2	1	0	21.0513
0.671971	2	1	0	21.0513
0.674471	2	1	0	21.0513
0.675002	2	1	0	21.0513
0.676971	2	1	0	21.0513
0.679471	2	1	0	21.0513
0.680002	2	1	0	21.0513
0.681971	2	1	0	21.0513
0.684471	2	1	0	21.0513
0.685002	2	1	0	21.0513
0.686971	2	1	0	21.0513
0.689471	2	1	0	21.0513
0.690002	2	1	0	21.0513
0.691971	2	1	0	21.0513
0.694471	2	1	0	21.0513
0.695002	2	1	0	21.0513
0.696971	2	1	0	21.0513
0.699471	2	1	0	21.0513
0.700002	2	1	0	21.0513
0.701971	2	1	0	21.0513
0.704471	2	1	0	21.0513
0.705002	2	1	0	21.0513
