time(s)	cellId	rnti	lcid	packetSize
19.705	2	1	3	395
19.71	2	1	3	5263
19.7105	2	1	3	378
19.805	2	1	3	395
19.81	2	1	3	5263
19.8105	2	1	3	378
19.905	2	1	3	395
19.91	2	1	3	5263
19.9105	2	1	3	378
20.005	2	1	3	395
20.01	2	1	3	5263
20.0105	2	1	3	378
20.105	2	1	3	395
20.11	2	1	3	5263
20.1105	2	1	3	378
20.205	2	1	3	395
20.21	2	1	3	5263
20.2105	2	1	3	378
20.305	2	1	3	395
20.31	2	1	3	5263
20.3105	2	1	3	378
20.405	2	1	3	395
20.41	2	1	3	5263
20.4105	2	1	3	378
20.505	2	1	3	395
20.51	2	1	3	5263
20.5105	2	1	3	378
20.605	2	1	3	395
20.61	2	1	3	5263
20.6105	2	1	3	378
20.705	2	1	3	395
20.71	2	1	3	5263
20.7105	2	1	3	378
20.805	2	1	3	395
20.81	2	1	3	5263
20.8105	2	1	3	378
20.905	2	1	3	395
20.91	2	1	3	5263
20.9105	2	1	3	378
21.005	2	1	3	395
21.01	2	1	3	5263
21.0105	2	1	3	378
21.105	2	1	3	395
21.11	2	1	3	5263
21.1105	2	1	3	378
21.205	2	1	3	395
21.21	2	1	3	5263
21.2105	2	1	3	378
21.305	2	1	3	395
21.31	2	1	3	5263
21.3105	2	1	3	378
21.405	2	1	3	395
21.41	2	1	3	5263
21.4105	2	1	3	378
21.505	2	1	3	395
21.51	2	1	3	5263
21.5105	2	1	3	378
21.605	2	1	3	395
21.61	2	1	3	5263
21.6105	2	1	3	378
21.705	2	1	3	395
21.71	2	1	3	5263
21.7105	2	1	3	378
21.805	2	1	3	395
21.81	2	1	3	5263
21.8105	2	1	3	378
21.905	2	1	3	395
21.91	2	1	3	5263
21.9105	2	1	3	378
22.005	2	1	3	395
22.01	2	1	3	5263
22.0105	2	1	3	378
22.105	2	1	3	395
22.11	2	1	3	5263
22.1105	2	1	3	378
22.205	2	1	3	395
22.21	2	1	3	5263
22.2105	2	1	3	378
22.305	2	1	3	395
22.31	2	1	3	5263
22.3105	2	1	3	378
22.405	2	1	3	395
22.41	2	1	3	5263
22.4105	2	1	3	378
22.505	2	1	3	395
22.51	2	1	3	5263
22.5105	2	1	3	378
22.605	2	1	3	395
22.61	2	1	3	5263
22.6105	2	1	3	378
22.705	2	1	3	395
22.71	2	1	3	5263
22.7105	2	1	3	378
22.805	2	1	3	395
22.81	2	1	3	5263
22.8105	2	1	3	378
22.905	2	1	3	395
22.91	2	1	3	5263
22.9105	2	1	3	378
23.005	2	1	3	395
23.01	2	1	3	5263
23.0105	2	1	3	378
23.105	2	1	3	395
23.11	2	1	3	5263
23.1105	2	1	3	378
23.205	2	1	3	395
23.21	2	1	3	5263
23.2105	2	1	3	378
23.305	2	1	3	395
23.31	2	1	3	5263
23.3105	2	1	3	378
23.405	2	1	3	395
23.41	2	1	3	5263
23.4105	2	1	3	378
23.505	2	1	3	395
23.51	2	1	3	5263
23.5105	2	1	3	378
23.605	2	1	3	395
23.61	2	1	3	5263
23.6105	2	1	3	378
23.705	2	1	3	395
23.71	2	1	3	5263
23.7105	2	1	3	378
23.805	2	1	3	395
23.81	2	1	3	5263
23.8105	2	1	3	378
23.905	2	1	3	395
23.91	2	1	3	5263
23.9105	2	1	3	378
24.005	2	1	3	395
24.01	2	1	3	5263
24.0105	2	1	3	378
24.105	2	1	3	395
24.11	2	1	3	5263
24.1105	2	1	3	378
24.205	2	1	3	395
24.21	2	1	3	5263
24.2105	2	1	3	378
24.305	2	1	3	395
24.31	2	1	3	5263
24.3105	2	1	3	378
24.405	2	1	3	395
24.41	2	1	3	5263
24.4105	2	1	3	378
24.505	2	1	3	395
24.51	2	1	3	5263
24.5105	2	1	3	378
24.605	2	1	3	395
24.61	2	1	3	5263
24.6105	2	1	3	378
24.705	2	1	3	395
24.71	2	1	3	5263
24.7105	2	1	3	378
24.805	2	1	3	395
24.81	2	1	3	5263
24.8105	2	1	3	378
24.905	2	1	3	395
24.91	2	1	3	5263
24.9105	2	1	3	378
25.005	2	1	3	395
25.01	2	1	3	5263
25.0105	2	1	3	378
25.105	2	1	3	395
25.11	2	1	3	5263
25.1105	2	1	3	378
25.205	2	1	3	395
25.21	2	1	3	5263
25.2105	2	1	3	378
25.305	2	1	3	395
25.31	2	1	3	5263
25.3105	2	1	3	378
25.405	2	1	3	395
25.41	2	1	3	5263
25.4105	2	1	3	378
25.505	2	1	3	395
25.51	2	1	3	5263
25.5105	2	1	3	378
25.605	2	1	3	395
25.61	2	1	3	5263
25.6105	2	1	3	378
25.705	2	1	3	395
25.71	2	1	3	5263
25.7105	2	1	3	378
25.805	2	1	3	395
25.81	2	1	3	5263
25.8105	2	1	3	378
25.905	2	1	3	395
25.91	2	1	3	5263
25.9105	2	1	3	378
26.005	2	1	3	395
26.01	2	1	3	5263
26.0105	2	1	3	378
26.105	2	1	3	395
26.11	2	1	3	5263
26.1105	2	1	3	378
26.205	2	1	3	395
26.21	2	1	3	5263
26.2105	2	1	3	378
26.305	2	1	3	395
26.31	2	1	3	5263
26.3105	2	1	3	378
26.405	2	1	3	395
26.41	2	1	3	5263
26.4105	2	1	3	378
26.505	2	1	3	395
26.51	2	1	3	5263
26.5105	2	1	3	378
26.605	2	1	3	395
26.61	2	1	3	5263
26.6105	2	1	3	378
26.705	2	1	3	395
26.71	2	1	3	5263
26.7105	2	1	3	378
26.805	2	1	3	395
26.81	2	1	3	5263
26.8105	2	1	3	378
26.905	2	1	3	395
26.91	2	1	3	5263
26.9105	2	1	3	378
27.005	2	1	3	395
27.01	2	1	3	5263
27.0105	2	1	3	378
27.105	2	1	3	395
27.11	2	1	3	5263
27.1105	2	1	3	378
27.205	2	1	3	395
27.21	2	1	3	5263
27.2105	2	1	3	378
27.305	2	1	3	395
27.31	2	1	3	5263
27.3105	2	1	3	378
27.405	2	1	3	395
27.41	2	1	3	5263
27.4105	2	1	3	378
27.505	2	1	3	395
27.51	2	1	3	5263
27.5105	2	1	3	378
27.605	2	1	3	395
27.61	2	1	3	5263
27.6105	2	1	3	378
27.705	2	1	3	395
27.71	2	1	3	5263
27.7105	2	1	3	378
27.805	2	1	3	395
27.81	2	1	3	5263
27.8105	2	1	3	378
27.905	2	1	3	395
27.91	2	1	3	5263
27.9105	2	1	3	378
28.005	2	1	3	395
28.01	2	1	3	5263
28.0105	2	1	3	378
28.105	2	1	3	395
28.11	2	1	3	5263
28.1105	2	1	3	378
28.205	2	1	3	395
28.21	2	1	3	5263
28.2105	2	1	3	378
28.305	2	1	3	395
28.31	2	1	3	5263
28.3105	2	1	3	378
28.405	2	1	3	395
28.41	2	1	3	5263
28.4105	2	1	3	378
28.505	2	1	3	395
28.51	2	1	3	5263
28.5105	2	1	3	378
28.605	2	1	3	395
28.61	2	1	3	5263
28.6105	2	1	3	378
28.705	2	1	3	395
28.71	2	1	3	5263
28.7105	2	1	3	378
28.805	2	1	3	395
28.81	2	1	3	5263
28.8105	2	1	3	378
28.905	2	1	3	395
28.91	2	1	3	5263
28.9105	2	1	3	378
29.005	2	1	3	395
29.01	2	1	3	5263
29.0105	2	1	3	378
29.105	2	1	3	395
29.11	2	1	3	5263
29.1105	2	1	3	378
29.205	2	1	3	395
29.21	2	1	3	5263
29.2105	2	1	3	378
29.305	2	1	3	395
29.31	2	1	3	5263
29.3105	2	1	3	378
29.405	2	1	3	395
29.41	2	1	3	5263
29.4105	2	1	3	378
29.505	2	1	3	395
29.51	2	1	3	5263
29.5105	2	1	3	378
29.605	2	1	3	395
29.61	2	1	3	5263
29.6105	2	1	3	378
29.705	2	1	3	395
29.71	2	1	3	5263
29.7105	2	1	3	378
29.805	2	1	3	395
29.81	2	1	3	5263
29.8105	2	1	3	378
29.905	2	1	3	395
29.91	2	1	3	5263
29.9105	2	1	3	378
30.005	2	1	3	395
30.01	2	1	3	5263
30.0105	2	1	3	378
30.105	2	1	3	395
30.11	2	1	3	5263
30.1105	2	1	3	378
30.205	2	1	3	395
30.21	2	1	3	5263
30.2105	2	1	3	378
30.305	2	1	3	395
30.31	2	1	3	5263
30.3105	2	1	3	378
30.405	2	1	3	395
30.41	2	1	3	5263
30.4105	2	1	3	378
30.505	2	1	3	395
30.51	2	1	3	5263
30.5105	2	1	3	378
30.605	2	1	3	395
30.61	2	1	3	5263
30.6105	2	1	3	378
30.705	2	1	3	395
30.71	2	1	3	5263
30.7105	2	1	3	378
30.805	2	1	3	395
30.81	2	1	3	5263
30.8105	2	1	3	378
30.905	2	1	3	395
30.91	2	1	3	5263
30.9105	2	1	3	378
31.005	2	1	3	395
31.01	2	1	3	5263
31.0105	2	1	3	378
31.105	2	1	3	395
31.11	2	1	3	5263
31.1105	2	1	3	378
31.205	2	1	3	395
31.21	2	1	3	5263
31.2105	2	1	3	378
31.305	2	1	3	395
