Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
4.60646	UL	460	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.60646	UL	460	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.61146	UL	461	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.61146	UL	461	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.61196	UL	461	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.61196	UL	461	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.70646	UL	470	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.70646	UL	470	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.71146	UL	471	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.71146	UL	471	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.71196	UL	471	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.71196	UL	471	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.80646	UL	480	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.80646	UL	480	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.81146	UL	481	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.81146	UL	481	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.81196	UL	481	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.81196	UL	481	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.90646	UL	490	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.90646	UL	490	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.91146	UL	491	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.91146	UL	491	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.91196	UL	491	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.91196	UL	491	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.00646	UL	500	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.00646	UL	500	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.01146	UL	501	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.01146	UL	501	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.01196	UL	501	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.01196	UL	501	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.10646	UL	510	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.10646	UL	510	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.11146	UL	511	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.11146	UL	511	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.11196	UL	511	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.11196	UL	511	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.20646	UL	520	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.20646	UL	520	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.21146	UL	521	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.21146	UL	521	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.21196	UL	521	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.21196	UL	521	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.30646	UL	530	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.30646	UL	530	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.31146	UL	531	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.31146	UL	531	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
5.31196	UL	531	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.31196	UL	531	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
5.40646	UL	540	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
5.40646	UL	540	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
